name,lat,long,type
Senso-ji,35.714930583255864, 139.79659092413107,Shrine
Tokyo Skytree,35.7103153089064, 139.81071112598408,Monument
Shibuya Scramble Crossing,35.659734769145636, 139.70052741063785,Street
Imperial Palace East National Gardens,35.68703508268266, 139.75708012412997,Park
Akihabara Electric Town, 35.7016233092781, 139.77122223469107,Shop
Meiji Jingu,35.67656316291581, 139.6993688124919,Shrine
Takeshita Street Square,35.67135525786577, 139.70426230878468,Shop
teamLab Planets,35.64926016475291, 139.7899026431805,Activity
Shinjuku City, 35.7015889,139.7091972,Street
Skylounge Rooftop,39.5093627,2.7476631,Restaurant
Asagaya Station,35.70516861304718, 139.63619819900123,Home
Uniqlo Ginza Flagship Store,35.67047138726106, 139.76355442783625,Shop
Shinjuku Gyoen National Garden,35.685455130674804, 139.71034137572485,Park
Ueno Park,35.71497344973907, 139.7737637910706,Park
Shibuya Sky,35.65884621689964, 139.70203844132737,Park
Tokyo DisneySea,35.626818114516794, 139.8856372968868,Activity
Tokyo Tower,35.65872866544843, 139.74581913524958,Monument
Tokyo National Museum,35.71896573225719, 139.7766395143464,Museum
Takeshita dori,35.67121650575885, 139.7051177241296,Street
